ID,FLAG_OWN_CAR,FLAG_OWN_REALTY,OWN_CAR_AGE
814,N,Y,
815,Y,Y,2.0
816,N,Y,
817,Y,Y,7.0
818,N,Y,
819,Y,Y,11.0
820,Y,N,2.0
821,N,N,
822,Y,N,6.0
823,N,Y,
824,N,Y,
825,N,N,
826,N,N,
827,N,Y,
828,N,N,
829,Y,Y,2.0
830,Y,Y,18.0
831,N,Y,
832,N,N,
833,N,Y,
834,N,Y,
835,N,Y,
836,N,Y,
837,Y,Y,11.0
838,Y,Y,14.0
839,Y,Y,11.0
840,N,Y,
841,N,Y,
842,Y,N,7.0
843,N,Y,
844,N,Y,
845,N,Y,
846,Y,Y,26.0
847,Y,Y,18.0
848,N,Y,
849,Y,N,6.0
850,N,Y,
851,N,Y,
852,N,N,
853,Y,Y,2.0
854,Y,Y,10.0
855,Y,Y,21.0
856,Y,N,11.0
857,N,Y,
858,N,Y,
859,N,N,
860,Y,Y,22.0
861,Y,Y,1.0
862,Y,Y,11.0
863,Y,Y,14.0
864,N,Y,
865,N,Y,
866,N,N,
867,N,Y,
868,N,N,
869,Y,N,65.0
870,N,N,
871,Y,N,2.0
872,N,Y,
873,N,N,
874,Y,Y,5.0
875,Y,Y,65.0
876,N,N,
877,Y,N,22.0
878,N,Y,
879,N,N,
880,N,Y,
881,N,N,
882,Y,Y,9.0
883,Y,N,2.0
884,N,Y,
885,Y,Y,11.0
886,Y,Y,13.0
887,Y,Y,10.0
888,N,Y,
889,N,Y,
890,Y,Y,4.0
891,Y,Y,22.0
892,N,Y,
893,Y,Y,7.0
894,Y,Y,5.0
895,N,Y,
896,N,Y,
897,Y,Y,10.0
898,N,N,
899,N,Y,
900,N,N,
901,Y,Y,8.0
902,Y,Y,4.0
903,Y,Y,11.0
904,N,Y,
905,N,Y,
906,N,Y,
907,Y,N,64.0
908,N,Y,
909,Y,Y,13.0
910,Y,N,6.0
911,Y,Y,1.0
912,N,Y,
913,N,Y,
914,N,N,
915,N,Y,
916,N,N,
917,Y,Y,1.0
918,N,N,
919,N,Y,
920,Y,Y,9.0
921,Y,N,2.0
922,Y,N,7.0
923,N,N,
924,Y,Y,9.0
925,Y,Y,64.0
926,Y,Y,3.0
927,Y,Y,13.0
928,Y,Y,15.0
929,N,Y,
930,Y,N,18.0
931,Y,Y,14.0
932,N,Y,
933,N,Y,
934,Y,Y,3.0
935,N,N,
936,N,N,
937,N,Y,
938,N,Y,
939,N,N,
940,Y,Y,4.0
941,Y,Y,5.0
942,Y,N,12.0
943,N,N,
944,N,N,
945,N,N,
946,N,Y,
947,N,Y,
948,N,N,
949,N,Y,
950,Y,N,8.0
951,N,N,
952,N,Y,
953,N,Y,
954,N,N,
955,N,Y,
956,N,Y,
957,N,Y,
958,N,Y,
959,Y,N,13.0
960,Y,N,13.0
961,Y,Y,5.0
962,N,Y,
963,N,Y,
964,Y,Y,9.0
965,Y,Y,7.0
966,Y,Y,64.0
967,N,N,
968,Y,Y,19.0
969,N,Y,
970,N,Y,
971,N,N,
972,Y,Y,1.0
973,N,N,
974,Y,N,2.0
975,Y,Y,17.0
976,Y,Y,10.0
977,N,Y,
978,N,Y,
979,N,Y,
980,Y,N,12.0
981,Y,Y,6.0
982,N,Y,
983,N,Y,
984,Y,Y,15.0
985,N,N,
986,N,Y,
987,N,Y,
988,N,N,
989,Y,N,19.0
990,N,Y,
991,N,Y,
992,Y,N,1.0
993,Y,Y,9.0
994,N,N,
995,N,N,
996,N,Y,
997,Y,Y,2.0
998,N,Y,
999,Y,Y,9.0
1000,Y,Y,1.0
1001,Y,Y,64.0
1002,Y,Y,17.0
1003,N,N,
1004,N,Y,
1005,N,Y,
1006,Y,Y,7.0
1007,N,Y,
1008,Y,N,1.0
1009,N,Y,
1010,N,Y,
1011,N,Y,
1012,N,N,
1013,Y,Y,3.0
1014,N,Y,
1015,N,Y,
1016,Y,Y,15.0
1017,N,Y,
1018,N,N,
1019,Y,Y,22.0
1020,N,Y,
1021,N,Y,
1022,N,Y,
1023,N,Y,
1024,N,Y,
1025,N,N,
1026,Y,N,19.0
1027,Y,Y,9.0
1028,Y,Y,6.0
1029,N,N,
1030,N,N,
1031,N,Y,
1032,N,Y,
1033,N,Y,
1034,Y,Y,1.0
1035,N,Y,
1036,Y,N,2.0
1037,N,Y,
1038,Y,N,16.0
1039,N,N,
1040,N,N,
1041,N,Y,
1042,Y,N,7.0
1043,N,Y,
1044,N,N,
1045,N,Y,
1046,N,Y,
1047,Y,Y,5.0
1048,N,Y,
1049,Y,Y,2.0
1050,Y,N,10.0
1051,N,Y,
1052,N,N,
1053,Y,N,7.0
1054,N,Y,
1055,N,N,
1056,Y,Y,6.0
1057,N,N,
1058,N,N,
1059,Y,Y,13.0
1060,Y,Y,16.0
1061,N,Y,
1062,Y,Y,2.0
1063,Y,Y,11.0
1064,N,Y,
1065,N,Y,
1066,Y,N,15.0
1067,Y,Y,11.0
1068,N,N,
1069,Y,Y,64.0
1070,Y,Y,6.0
1071,N,Y,
1072,N,Y,
1073,N,Y,
1074,N,N,
1075,N,Y,
1076,N,Y,
1077,N,Y,
1078,Y,N,4.0
1079,N,Y,
1080,Y,N,21.0
1081,N,Y,
1082,Y,Y,4.0
1083,N,Y,
1084,Y,Y,16.0
1085,N,Y,
1086,N,Y,
1087,N,N,
1088,Y,Y,4.0
1089,Y,N,6.0
1090,Y,N,16.0
1091,N,Y,
1092,N,N,
1093,N,Y,
1094,Y,Y,20.0
1095,N,Y,
1096,N,Y,
1097,N,N,
1098,Y,N,24.0
1099,N,N,
1100,N,Y,
1101,Y,Y,3.0
1102,Y,Y,15.0
1103,N,Y,
1104,N,N,
1105,N,Y,
1106,N,Y,
1107,N,Y,
1108,N,N,
1109,N,N,
1110,N,Y,
1111,N,N,
1112,Y,N,16.0
1113,N,N,
1114,Y,N,18.0
1115,N,Y,
1116,N,N,
1117,N,Y,
1118,Y,Y,13.0
1119,N,N,
1120,N,N,
1121,N,Y,
1122,Y,Y,14.0
1123,N,Y,
1124,N,Y,
1125,N,Y,
1126,N,Y,
1127,Y,Y,11.0
1128,N,Y,
1129,Y,N,11.0
1130,Y,Y,11.0
1131,Y,Y,4.0
1132,N,N,
1133,N,Y,
1134,N,Y,
1135,N,Y,
1136,N,Y,
1137,Y,Y,17.0
1138,N,N,
1139,N,Y,
1140,Y,Y,15.0
1141,Y,Y,7.0
1142,Y,Y,6.0
1143,N,Y,
1144,Y,N,5.0
1145,N,Y,
1146,Y,N,8.0
1147,Y,N,10.0
1148,N,N,
1149,N,Y,
1150,N,N,
1151,N,Y,
1152,N,Y,
1153,Y,Y,3.0
1154,N,Y,
1155,N,Y,
1156,N,N,
1157,N,N,
1158,N,Y,
1159,N,Y,
1160,Y,Y,5.0
1161,Y,Y,17.0
1162,N,N,
1163,N,Y,
1164,Y,Y,9.0
1165,Y,Y,26.0
1166,N,N,
1167,N,N,
1168,N,N,
1169,N,Y,
1170,N,Y,
1171,N,Y,
1172,N,Y,
1173,N,N,
1174,N,Y,
1175,Y,Y,19.0
1176,Y,Y,1.0
1177,N,N,
1178,Y,Y,7.0
1179,N,N,
1180,N,N,
1181,Y,Y,3.0
1182,Y,Y,16.0
1183,Y,Y,12.0
1184,N,Y,
1185,Y,N,16.0
1186,N,Y,
1187,N,Y,
1188,Y,Y,10.0
1189,Y,Y,1.0
1190,Y,N,0.0
1191,N,N,
1192,N,N,
1193,N,N,
1194,N,N,
1195,Y,N,4.0
1196,N,Y,
1197,N,N,
1198,N,Y,
1199,Y,N,5.0
1200,N,Y,
1201,N,Y,
1202,N,Y,
1203,Y,N,17.0
1204,Y,N,1.0
1205,Y,N,22.0
1206,N,Y,
1207,Y,Y,22.0
1208,N,Y,
1209,N,Y,
1210,Y,Y,8.0
1211,N,N,
1212,N,Y,
1213,Y,Y,16.0
1214,N,Y,
1215,N,N,
1216,Y,Y,6.0
1217,Y,Y,5.0
1218,N,Y,
1219,N,Y,
1220,N,Y,
1221,N,N,
1222,Y,Y,6.0
1223,N,N,
1224,N,Y,
1225,N,N,
1226,N,N,
1227,Y,N,3.0
1228,Y,Y,7.0
1229,Y,Y,16.0
1230,Y,Y,3.0
1231,N,Y,
1232,Y,N,14.0
1233,N,N,
1234,Y,Y,14.0
1235,N,N,
1236,N,Y,
1237,N,Y,
1238,Y,Y,5.0
1239,N,Y,
1240,Y,N,14.0
1241,Y,Y,7.0
1242,Y,Y,64.0
1243,Y,N,11.0
1244,N,Y,
1245,Y,Y,18.0
1246,N,Y,
1247,N,Y,
1248,Y,Y,5.0
1249,N,N,
1250,Y,N,6.0
1251,Y,Y,11.0
1252,Y,Y,15.0
1253,Y,Y,14.0
1254,Y,Y,25.0
1255,Y,N,7.0
1256,N,N,
1257,N,Y,
1258,Y,Y,25.0
1259,Y,Y,21.0
1260,N,Y,
1261,N,N,
1262,N,Y,
1263,N,Y,
1264,N,Y,
1265,N,N,
1266,Y,Y,8.0
1267,N,Y,
1268,N,N,
1269,N,Y,
1270,N,N,
1271,N,N,
1272,N,N,
1273,N,Y,
1274,Y,N,4.0
1275,N,Y,
1276,N,Y,
1277,N,Y,
1278,N,N,
1279,Y,Y,15.0
1280,N,Y,
1281,N,Y,
1282,N,Y,
1283,Y,Y,3.0
1284,Y,N,12.0
1285,N,N,
1286,N,Y,
1287,N,Y,
1288,Y,N,14.0
1289,Y,Y,7.0
1290,Y,Y,3.0
1291,N,Y,
1292,Y,Y,7.0
1293,N,Y,
1294,N,Y,
1295,N,N,
1296,N,N,
1297,N,N,
1298,N,Y,
1299,N,Y,
1300,N,Y,
1301,N,Y,
1302,N,Y,
1303,Y,Y,9.0
1304,N,Y,
1305,N,N,
1306,N,Y,
1307,Y,Y,11.0
1308,N,N,
1309,N,Y,
1310,N,N,
1311,N,N,
1312,N,Y,
1313,Y,N,4.0
1314,N,Y,
1315,N,Y,
1316,Y,Y,2.0
1317,N,N,
1318,N,Y,
1319,N,N,
1320,N,N,
1321,N,N,
1322,Y,Y,7.0
1323,N,N,
1324,Y,Y,1.0
1325,N,Y,
1326,N,Y,
1327,N,Y,
1328,N,N,
1329,N,Y,
1330,Y,Y,23.0
1331,Y,Y,17.0
1332,N,Y,
1333,N,Y,
1334,N,Y,
1335,N,N,
1336,N,N,
1337,Y,Y,3.0
1338,N,Y,
1339,N,Y,
1340,N,N,
1341,N,N,
1342,N,Y,
1343,Y,Y,10.0
1344,N,Y,
1345,Y,N,4.0
1346,N,N,
1347,N,Y,
1348,Y,Y,7.0
1349,N,N,
1350,Y,Y,6.0
1351,N,Y,
1352,Y,Y,2.0
1353,Y,Y,3.0
1354,N,Y,
1355,Y,Y,4.0
1356,N,Y,
1357,N,Y,
1358,N,Y,
1359,N,N,
1360,N,Y,
1361,Y,Y,15.0
1362,N,N,
1363,Y,Y,8.0
1364,Y,Y,9.0
1365,N,Y,
1366,N,Y,
1367,N,Y,
1368,N,N,
1369,N,Y,
1370,Y,Y,14.0
1371,Y,Y,1.0
1372,N,N,
1373,N,Y,
1374,N,Y,
1375,Y,N,13.0
1376,N,Y,
1377,Y,Y,9.0
1378,Y,N,3.0
1379,N,Y,
1380,N,Y,
1381,Y,Y,8.0
1382,N,Y,
1383,N,N,
1384,N,Y,
1385,Y,N,4.0
1386,Y,Y,24.0
1387,N,Y,
1388,N,Y,
1389,N,Y,
1390,N,Y,
1391,Y,Y,11.0
1392,Y,N,7.0
1393,Y,N,13.0
1394,Y,N,8.0
1395,Y,Y,14.0
1396,N,Y,
1397,Y,Y,39.0
1398,Y,Y,4.0
1399,N,Y,
1400,N,Y,
1401,N,Y,
1402,Y,Y,1.0
1403,Y,Y,16.0
1404,Y,Y,9.0
1405,Y,Y,15.0
1406,N,Y,
1407,Y,Y,9.0
1408,Y,Y,3.0
1409,N,Y,
1410,N,Y,
1411,N,N,
1412,N,Y,
1413,N,Y,
1414,Y,Y,9.0
1415,N,Y,
1416,N,N,
1417,N,Y,
1418,N,Y,
1419,N,Y,
1420,N,N,
1421,Y,N,10.0
1422,N,Y,
1423,N,N,
1424,N,Y,
1425,N,Y,
1426,Y,Y,9.0
1427,Y,Y,4.0
1428,N,Y,
1429,N,N,
1430,Y,Y,3.0
1431,N,N,
1432,N,Y,
1433,Y,Y,6.0
1434,N,Y,
1435,N,Y,
1436,N,N,
1437,N,N,
1438,Y,N,5.0
1439,N,N,
1440,N,Y,
1441,Y,Y,11.0
1442,N,Y,
1443,N,Y,
1444,N,N,
1445,Y,Y,8.0
1446,Y,N,13.0
1447,N,N,
1448,Y,N,1.0
1449,N,N,
1450,N,Y,
1451,N,N,
1452,N,N,
1453,N,Y,
1454,Y,N,21.0
1455,N,Y,
1456,N,N,
1457,Y,Y,10.0
1458,Y,Y,5.0
1459,N,N,
1460,N,Y,
1461,N,Y,
1462,N,N,
1463,N,Y,
1464,N,Y,
1465,Y,Y,10.0
1466,Y,Y,10.0
1467,N,Y,
1468,N,Y,
1469,N,Y,
1470,N,N,
1471,Y,N,9.0
1472,Y,Y,25.0
1473,Y,Y,10.0
1474,N,Y,
1475,Y,N,10.0
1476,N,N,
1477,N,Y,
1478,N,Y,
1479,N,Y,
1480,N,Y,
1481,Y,N,64.0
